image,split,cr,actual_cr,sigma,seed,method,stage,psnr,ssim
camera,test,0.1,0.1001129150390625,0.01,2027,hqs,1,26.667491825286454,0.6814842190954127
camera,test,0.1,0.1001129150390625,0.01,2027,hqs,2,28.942705481584813,0.7962297274452448
camera,test,0.1,0.1001129150390625,0.01,2027,hqs,3,30.28602623457029,0.8466580008488893
camera,test,0.1,0.1001129150390625,0.01,2027,hqs,4,30.888801864883526,0.859827945595622
camera,test,0.1,0.1001129150390625,0.01,2027,hqs,5,31.143346283020435,0.8655150711160302
camera,test,0.1,0.1001129150390625,0.01,2027,hqs,6,31.163073547250914,0.86480699308604
camera,test,0.1,0.1001129150390625,0.01,2027,admm,1,26.480980655688565,0.6690223664224632
camera,test,0.1,0.1001129150390625,0.01,2027,admm,2,29.345913745999354,0.8122820010061264
camera,test,0.1,0.1001129150390625,0.01,2027,admm,3,30.50103942431352,0.8466139515924453
camera,test,0.1,0.1001129150390625,0.01,2027,admm,4,30.75423900155894,0.8524040008804799
camera,test,0.1,0.1001129150390625,0.01,2027,admm,5,30.981004616687684,0.8576194348107576
camera,test,0.1,0.1001129150390625,0.01,2027,admm,6,31.212328036075547,0.8676495031260252
camera,test,0.1,0.1001129150390625,0.01,2028,hqs,1,26.663977599075103,0.6811229035771005
camera,test,0.1,0.1001129150390625,0.01,2028,hqs,2,28.927181194638298,0.7961528808040619
camera,test,0.1,0.1001129150390625,0.01,2028,hqs,3,30.273744286100257,0.8467011257733703
camera,test,0.1,0.1001129150390625,0.01,2028,hqs,4,30.882612817809374,0.8594301219458282
camera,test,0.1,0.1001129150390625,0.01,2028,hqs,5,31.135850912049918,0.8644183183596023
camera,test,0.1,0.1001129150390625,0.01,2028,hqs,6,31.16392057730925,0.863819338947393
camera,test,0.1,0.1001129150390625,0.01,2028,admm,1,26.47091546914147,0.6686884565804564
camera,test,0.1,0.1001129150390625,0.01,2028,admm,2,29.31469685024438,0.8123697908399105
