split,cr,actual_cr,sigma,method,images,trials,psnr,image_sd,ssim,seconds
stress,0.01,0.01031494140625,0.0,adjoint,2,2,12.325389350659645,8.91843454489381,0.2734801742914413,1.352099934592843e-05
stress,0.01,0.01031494140625,0.0,admm,2,2,12.779219278425607,9.55882298007473,0.43478751811501726,3.159577979487949
stress,0.01,0.01031494140625,0.0,fista_dct,2,2,12.392578681164949,9.012031559479125,0.3596708129228208,0.20195514599618036
stress,0.01,0.01031494140625,0.0,hqs,2,2,12.75526948237587,9.52499894676526,0.43119455259511075,3.1424006665038178
stress,0.04,0.041259765625,0.0,adjoint,2,2,12.730147357579195,9.454690706366412,0.2685904356012999,2.300050255144015e-05
stress,0.04,0.041259765625,0.0,admm,2,2,14.30695167229041,11.698845726698517,0.4683347539908079,3.231317603997013
stress,0.04,0.041259765625,0.0,fista_dct,2,2,12.631998025084977,9.34788513622236,0.25870315214771294,0.21167637500184355
stress,0.04,0.041259765625,0.0,hqs,2,2,14.304932378632298,11.673496003975176,0.4683371316658457,3.2240907290033647
stress,0.1,0.1001129150390625,0.0,adjoint,2,2,13.458042751092364,9.924143936077554,0.33741837989574236,2.3354499717243016e-05
stress,0.1,0.1001129150390625,0.0,admm,2,2,18.639629763337535,17.178489100667516,0.5821823874130646,3.1514728744950844
stress,0.1,0.1001129150390625,0.0,fista_dct,2,2,14.187311930981378,8.48778295099702,0.4564538013095892,0.22807175049820216
stress,0.1,0.1001129150390625,0.0,hqs,2,2,18.775646266977073,17.34072450980205,0.5840523614325172,3.062328416002856
stress,0.1,0.1001129150390625,0.01,adjoint,2,6,13.442063951895479,9.902271090935002,0.33036490206377245,2.531250356696546e-05
stress,0.1,0.1001129150390625,0.01,admm,2,6,18.180470126033818,16.52948841350333,0.5689882726512804,3.2065589999983786
stress,0.1,0.1001129150390625,0.01,fista_dct,2,6,14.169361232559108,8.46664969218976,0.45018355401742616,0.24147835400071926
stress,0.1,0.1001129150390625,0.01,hqs,2,6,17.98754403232891,16.225932172171138,0.5656952785724666,3.1637854790023994
stress,0.1,0.1001129150390625,0.05,adjoint,2,6,13.13324149976029,9.4825076436211,0.25641040495395334,2.5395995180588216e-05
stress,0.1,0.1001129150390625,0.05,admm,2,6,13.75013345100222,10.28905648839597,0.2766250513870604,3.2012122289961553
stress,0.1,0.1001129150390625,0.05,fista_dct,2,6,13.756558166242034,7.934626933573244,0.38560030753959373,0.2438981875020545
stress,0.1,0.1001129150390625,0.05,hqs,2,6,13.919001082513315,10.484697786177819,0.2858334257988478,3.1162177915030043
stress,0.25,0.25,0.0,adjoint,2,2,16.127052900770767,9.582750793299331,0.6076612210130989,3.449999348958954e-05
stress,0.25,0.25,0.0,admm,2,2,28.780472821547576,19.834781014788778,0.9569596947822571,3.1618697919984697
stress,0.25,0.25,0.0,fista_dct,2,2,18.012636418074102,6.8461035084417245,0.6807726287392676,0.2334126665009535
stress,0.25,0.25,0.0,hqs,2,2,28.018395157613803,20.164883298122795,0.9435510032820702,3.052782312501222
stress,0.5,0.4998931884765625,0.0,adjoint,2,2,19.247600256152204,10.206444580271599,0.7356773264082372,5.231249815551564e-05
stress,0.5,0.4998931884765625,0.0,admm,2,2,36.37029488406485,21.278296042538383,0.9915874332451821,3.169342687499011
stress,0.5,0.4998931884765625,0.0,fista_dct,2,2,20.46054673729529,8.673897472150625,0.7419598829153776,0.2396695834977436
stress,0.5,0.4998931884765625,0.0,hqs,2,2,35.80085709660765,23.945271390840034,0.9848195196990968,3.0716863959969487
test,0.01,0.01031494140625,0.0,adjoint,6,6,23.662977891363777,6.929712916162759,0.48772983376184725,1.1686999641824514e-05
test,0.01,0.01031494140625,0.0,admm,6,6,27.20998106840335,8.8208736040275,0.729536577340744,2.5279238330040243
test,0.01,0.01031494140625,0.0,fista_dct,6,6,24.700804955111142,7.694813470425461,0.5972769454222372,0.19247385449853027
test,0.01,0.01031494140625,0.0,hqs,6,6,26.958443054473292,8.277703822111038,0.7263511151988098,2.450058458503918
test,0.04,0.041259765625,0.0,adjoint,6,6,25.769118518014803,7.241344930389536,0.5635240974007684,1.6979000065475702e-05
test,0.04,0.041259765625,0.0,admm,6,6,31.171167249096566,9.212119740140194,0.8482294328563725,2.587182458002644
test,0.04,0.041259765625,0.0,fista_dct,6,6,27.1170099859099,8.413686695024463,0.630936914376235,0.19826256249507423
test,0.04,0.041259765625,0.0,hqs,6,6,31.00009400183404,8.907834075476227,0.8488676909851067,2.519997395997052
test,0.1,0.1001129150390625,0.0,adjoint,6,6,27.42851016842323,7.221314613700136,0.635809334457225,2.1249994460958987e-05
test,0.1,0.1001129150390625,0.0,admm,6,6,34.488222728129465,9.61514610659366,0.9154534605288961,2.616739853998297
test,0.1,0.1001129150390625,0.0,fista_dct,6,6,29.09978317253166,8.76649542505265,0.6935877052340388,0.20188412501011044
test,0.1,0.1001129150390625,0.0,hqs,6,6,34.309558188582166,9.324578149066367,0.9157141558383715,2.5147986040028627
test,0.1,0.1001129150390625,0.01,adjoint,6,18,27.214427937128857,6.895039369627174,0.6282537262893997,2.2811997041571885e-05
test,0.1,0.1001129150390625,0.01,admm,6,18,32.711927329391806,6.949054216912505,0.9015047653549225,2.715638500492787
test,0.1,0.1001129150390625,0.01,fista_dct,6,18,28.3898218919685,7.581719116918928,0.6787648109039512,0.21054862500022864
test,0.1,0.1001129150390625,0.01,hqs,6,18,32.537581426228115,6.734477794242641,0.8979017544244822,2.6448787294939393
test,0.1,0.1001129150390625,0.05,adjoint,6,18,25.00311886609306,4.309325391399226,0.5093848590662942,2.210399543400854e-05
test,0.1,0.1001129150390625,0.05,admm,6,18,27.369082298427415,3.604453212919745,0.6764255399612796,2.843333958000585
test,0.1,0.1001129150390625,0.05,fista_dct,6,18,24.81836256449274,3.6524065811330013,0.49719715589102353,0.2080777709998074
test,0.1,0.1001129150390625,0.05,hqs,6,18,27.136416079991875,3.457787490603059,0.6598566294872663,2.6624556874958216
test,0.25,0.25,0.0,adjoint,6,6,29.944857324359642,6.98683672629937,0.7385534354889954,2.970850619021803e-05
test,0.25,0.25,0.0,admm,6,6,38.70765205393265,8.44085616817676,0.9639283390351335,2.6490757704959833
test,0.25,0.25,0.0,fista_dct,6,6,32.50490364971307,9.526005232084108,0.7964922511897674,0.2188153750030324
test,0.25,0.25,0.0,hqs,6,6,38.695328864699,8.337140529707042,0.9642365841518045,2.5219054789995425
test,0.5,0.4998931884765625,0.0,adjoint,6,6,32.76484970725476,6.219105884534876,0.8297767818842132,4.564549453789368e-05
test,0.5,0.4998931884765625,0.0,admm,6,6,43.84044922719237,6.737190656195714,0.9871791427453358,2.5954535830023815
test,0.5,0.4998931884765625,0.0,fista_dct,6,6,36.12742765862476,9.734055782312288,0.8801772238610784,0.22701139600394526
test,0.5,0.4998931884765625,0.0,hqs,6,6,43.804563230791466,6.7507722776366785,0.9872936769881248,2.6126591454958543
