image,split,cr,actual_cr,sigma,seed,method,psnr,ssim,seconds,relative_residual
astronaut,test,0.1,0.1001129150390625,0.05,2027,fista_dct,22.838597689852577,0.57110619569613,0.20681445799709763,0.02160642665852442
astronaut,test,0.1,0.1001129150390625,0.05,2027,hqs,25.519694343286737,0.7751433289965988,2.226912208003341,0.004417983815073967
astronaut,test,0.1,0.1001129150390625,0.05,2027,admm,25.773416501067558,0.7901018406973853,2.307537916000001,0.005182337947189808
astronaut,test,0.1,0.1001129150390625,0.05,2028,adjoint,21.681266730490407,0.5040303794886649,6.750000466126949e-05,0.01892712339758873
astronaut,test,0.1,0.1001129150390625,0.05,2028,fista_dct,22.84535265742836,0.5726245646716412,0.20453279200592078,0.02214054566777445
astronaut,test,0.1,0.1001129150390625,0.05,2028,hqs,25.580041478637526,0.7775738827246409,2.2680763750104234,0.003969453275203705
astronaut,test,0.1,0.1001129150390625,0.05,2028,admm,25.85256309831312,0.792850280031532,2.3185469580057543,0.0048742457292973995
coins,test,0.01,0.01031494140625,0.0,2026,adjoint,19.68004775402957,0.350506854459647,1.1458003427833319e-05,0.002131718909367919
coins,test,0.01,0.01031494140625,0.0,2026,fista_dct,20.358849404655516,0.4370956554918999,0.19307562499307096,0.0009354746115078368
coins,test,0.01,0.01031494140625,0.0,2026,hqs,23.64224089254421,0.6639726438331074,2.2719341670017457,0.00410600146278739
coins,test,0.01,0.01031494140625,0.0,2026,admm,23.652316198918555,0.6664754147890233,2.293169458003831,0.007002254948019981
coins,test,0.04,0.041259765625,0.0,2026,adjoint,22.031581677875796,0.45620204256250546,1.6874997527338564e-05,0.0023596324026584625
coins,test,0.04,0.041259765625,0.0,2026,fista_dct,23.071592462449047,0.5347432862659615,0.19957354199141264,0.0006140084477845001
coins,test,0.04,0.041259765625,0.0,2026,hqs,27.635591607770152,0.8190503346626907,2.240082042000722,0.003376319305971265
coins,test,0.04,0.041259765625,0.0,2026,admm,27.658214035984994,0.8181643739383258,2.284453084008419,0.004362414125353098
coins,test,0.1,0.1001129150390625,0.0,2026,adjoint,23.948123702632703,0.562741035122541,1.9625003915280104e-05,0.0028964397497475147
coins,test,0.1,0.1001129150390625,0.0,2026,fista_dct,25.251068939488675,0.6407822791849123,0.2011899580102181,0.0010817405015101165
coins,test,0.1,0.1001129150390625,0.0,2026,hqs,30.32752829612644,0.8884585161930472,2.2722679160069674,0.0029731644317507744
coins,test,0.1,0.1001129150390625,0.0,2026,admm,30.39816001937819,0.8889560434123873,2.302437207996263,0.004114414565265179
coins,test,0.25,0.25,0.0,2026,adjoint,26.86664973700435,0.7014224163191318,3.1917006708681583e-05,0.003591516287997365
coins,test,0.25,0.25,0.0,2026,fista_dct,28.505441888248612,0.7722004630449713,0.23361125000519678,0.0013824111298795612
coins,test,0.25,0.25,0.0,2026,hqs,34.41553512294781,0.9464870952405929,2.235372583003482,0.001972034340724349
coins,test,0.25,0.25,0.0,2026,admm,34.38575632080288,0.9461597923159599,2.2733294159988873,0.002882587257772684
coins,test,0.5,0.4998931884765625,0.0,2026,adjoint,30.22585367964965,0.821781523824215,4.449998959898949e-05,0.004677218850702047
coins,test,0.5,0.4998931884765625,0.0,2026,fista_dct,32.17309934707381,0.8764534610786437,0.2260238750022836,0.0018197452565875815
coins,test,0.5,0.4998931884765625,0.0,2026,hqs,39.006415886722834,0.9782641936178207,2.310774625002523,0.001544067868962884
coins,test,0.5,0.4998931884765625,0.0,2026,admm,39.03806377268112,0.9781374356193543,2.271469708008226,0.002388160675764084
coins,test,0.1,0.1001129150390625,0.01,2026,adjoint,23.928736739724403,0.560925500880854,1.9791987142525613e-05,0.0028973999433219433
coins,test,0.1,0.1001129150390625,0.01,2026,fista_dct,25.196397949641497,0.6372777377666803,0.23593329200230073,0.0009349379300875349
coins,test,0.1,0.1001129150390625,0.01,2026,hqs,30.131735551373986,0.8821341871089247,2.301707999999053,0.0026772096753120422
coins,test,0.1,0.1001129150390625,0.01,2026,admm,30.202899117980728,0.88408532937482,2.3621896669937996,0.004041797481477261
coins,test,0.1,0.1001129150390625,0.01,2027,adjoint,23.929403638617607,0.5610505175842792,2.2957989131100476e-05,0.0028976912144571543
coins,test,0.1,0.1001129150390625,0.01,2027,fista_dct,25.198369914998253,0.6363131173348897,0.2004987499967683,0.0009854053645927628
coins,test,0.1,0.1001129150390625,0.01,2027,hqs,30.154311896119598,0.8816641147175879,2.439160666996031,0.0025836252607405186
coins,test,0.1,0.1001129150390625,0.01,2027,admm,30.184127826733903,0.8833888462425172,2.483767458994407,0.003857910167425871
coins,test,0.1,0.1001129150390625,0.01,2028,adjoint,23.928647086328922,0.5608612593497744,2.5291999918408692e-05,0.00289736595004797
coins,test,0.1,0.1001129150390625,0.01,2028,fista_dct,25.213448183593382,0.6378503832470142,0.1996486249990994,0.001064524642457421
coins,test,0.1,0.1001129150390625,0.01,2028,hqs,30.0988446085489,0.8808398343521505,2.300138374994276,0.002599407220259309
coins,test,0.1,0.1001129150390625,0.01,2028,admm,30.14418815738489,0.8826977245350778,2.4798060840112157,0.004025376867502928
coins,test,0.1,0.1001129150390625,0.05,2026,adjoint,23.48686212468754,0.5233144022312132,2.2207997972145677e-05,0.0029278211295604706
coins,test,0.1,0.1001129150390625,0.05,2026,fista_dct,24.197921963195977,0.5588836226686863,0.2002077919896692,0.0011645790432577789
coins,test,0.1,0.1001129150390625,0.05,2026,hqs,27.81790785159234,0.7677439900611452,2.3704020839941222,0.0026239186991006136
coins,test,0.1,0.1001129150390625,0.05,2026,admm,27.909828215138923,0.7784384948512911,2.464961834004498,0.00407582288607955
coins,test,0.1,0.1001129150390625,0.05,2027,adjoint,23.496871429482155,0.5237203794332312,2.066700835712254e-05,0.002909432863816619
coins,test,0.1,0.1001129150390625,0.05,2027,fista_dct,24.299948598071524,0.5652296744780261,0.20116850000340492,0.0011803745721554984
