image,split,method,cr,psnr,ssim
camera,test,hqs_no_memory,0.1,26.459783655637857,0.7919042071807645
astronaut,test,hqs_no_memory,0.1,24.71291360118279,0.8245337183751632
coins,test,hqs_no_memory,0.1,24.990483755088725,0.7795268381698199
moon,test,hqs_no_memory,0.1,37.69900922627076,0.9141002260088921
page,test,hqs_no_memory,0.1,22.06146977216789,0.7008197348188929
clock,test,hqs_no_memory,0.1,47.55201366416433,0.9907641554670333
checkerboard,stress,hqs_no_memory,0.1,6.468400566113939,0.18632726596283186
small_text,stress,hqs_no_memory,0.1,22.98194808791684,0.8258767135358452
